agency,oricodes
st_louis_metro_mo,MOSPD00
st_louis_park_mn,MN02721
st_paul_mn,MN06209
st_petersburg_fl,FL05214
statesboro_ga,GA01601
stevens_county_mn,MN07500
stillwater_mn,MN08206
stockton_ca,CA03905
syracuse_ut,UT00612
tampa_fl,FL02902
taylor_county_ga,GA13300
taylorsville_ut,UT01839
thomas_county_ga,GA13600
toledo_oh,OH04807
tooele_county_ut,UT02300
troup_county_ga,GA14100
tucson_az,AZ01003
tulsa_ok,OK07205
tyler_tx,TX21204
unified_pd,
union_city_ga,GA06006
utah_county_ut,UT02500
utah_doc,
utah_highway_patrol,UTUHP00
utah_state_university,UT00316
valdosta_ga,GA09201
vidalia_ga,GA13802
virginia_beach_va,VA12800
virginia_mn,MN06914
vt_state_police,VTVSP00
waco_tx,TX15512
wadena_county_mn,MN08000
wadena_pd_mn,MN08001
walker_county_ga,GA14600
walton_county_sheriff_ga,GA14700
warner_robins_ga,GA07602
washington_county_mn_mn,MN08200
washington_dc,DCMPD00
waycross_ga,GA14801
wayne_county_ga,GA15100
weber_county_ut,UT02900
west_bountiful_ut,UT00609
west_jordan_ut,UT01806
west_st_paul_mn,MN01907
west_valley_city_ut,UT01825
wheeler_county_ga,GA15300
white_earth_reservation_mn,MNDI019
whitfield_county_ga,GA15500
wichita_falls_tx,TX24305
wichita_ks,KS08703
willard_ut,UT00208
winona_county_mn,MN08500
winston_salem_nc,NC03402
woodbury_mn,MN08211
woods_cross_ut,UT00610
woodstock_ga,GA02805
worth_county_ga,GA15900
wright_county_mn,MN08600
zumbrota_mn,MN02508
